nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 234,False,False,True,AVXS-101,28.21,5.49,14,RO6885247,-1.04,13,29.25,,
NCT03768726,Bipolar Disorder,Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder,Ziprasidone ; Placebo,placebo,cm,"Change From Baseline in Height and Waist Circumference at Week 6, 26 and Follow-up Visit","Height, Change at Week 6",False,False,False,Ziprasidone in A1281198 and A1281201,0.27,0.455,10,Placebo in A1281198 Then Ziprasidone in A1281201,0.77,13,-0.5,,
NCT03768726,Bipolar Disorder,Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder,Ziprasidone ; Placebo,placebo,cm,"Change From Baseline in Height and Waist Circumference at Week 6, 26 and Follow-up Visit","Height, Change at Week 26",False,False,False,Ziprasidone in A1281198 and A1281201,2.04,1.938,10,Placebo in A1281198 Then Ziprasidone in A1281201,0.55,13,1.49,,
NCT03768726,Bipolar Disorder,Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder,Ziprasidone ; Placebo,placebo,cm,"Change From Baseline in Height and Waist Circumference at Week 6, 26 and Follow-up Visit","Height, Change at Follow-up Visit",False,False,False,Ziprasidone in A1281198 and A1281201,0.9,1.562,10,Placebo in A1281198 Then Ziprasidone in A1281201,2.42,13,-1.52,,
NCT03768726,Bipolar Disorder,Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder,Ziprasidone ; Placebo,placebo,cm,"Change From Baseline in Height and Waist Circumference at Week 6, 26 and Follow-up Visit","Waist Circumference, Change at Week 6",False,False,False,Ziprasidone in A1281198 and A1281201,-0.94,2.483,10,Placebo in A1281198 Then Ziprasidone in A1281201,2.23,13,-3.17,,
NCT03768726,Bipolar Disorder,Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder,Ziprasidone ; Placebo,placebo,cm,"Change From Baseline in Height and Waist Circumference at Week 6, 26 and Follow-up Visit","Waist Circumference, Change at Week 26",False,False,False,Ziprasidone in A1281198 and A1281201,-1.02,2.278,10,Placebo in A1281198 Then Ziprasidone in A1281201,1.29,13,-2.31,,
NCT03768726,Bipolar Disorder,Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder,Ziprasidone ; Placebo,placebo,cm,"Change From Baseline in Height and Waist Circumference at Week 6, 26 and Follow-up Visit","Waist Circumference, Change at Follow-up Visit",False,False,False,Ziprasidone in A1281198 and A1281201,-6.4,13.777,10,Placebo in A1281198 Then Ziprasidone in A1281201,2.01,13,-8.41,,
NCT03878446,Short Stature Children Born Small for Gestational Age (SGA),A Research Study in Children Born Small and Who Stayed Small. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day,Somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity,,True,True,False,Norditropin 0.035 mg/kg/Day,10.5,2.0,12,Somapacitan 0.16 mg/kg/Week,8.9,12,1.6,,
NCT03878446,Short Stature Children Born Small for Gestational Age (SGA),A Research Study in Children Born Small and Who Stayed Small. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day,Somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity,,True,True,False,Norditropin 0.067 mg/kg/Day,11.9,2.4,13,Somapacitan 0.16 mg/kg/Week,8.9,12,3.0,,
NCT03878446,Short Stature Children Born Small for Gestational Age (SGA),A Research Study in Children Born Small and Who Stayed Small. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day,Somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity,,True,True,False,Somapacitan 0.20 mg/kg/Week,11.1,2.6,13,Somapacitan 0.16 mg/kg/Week,8.9,12,2.2,,
NCT03878446,Short Stature Children Born Small for Gestational Age (SGA),A Research Study in Children Born Small and Who Stayed Small. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day,Somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity,,True,True,False,Somapacitan 0.24 mg/kg/Week,11.2,3.4,12,Somapacitan 0.16 mg/kg/Week,8.9,12,2.3,,
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS) at Month 24.,,True,True,False,Genotropin®,1.63,0.13,21,Control,0.43,21,1.2,,
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",placebo,Z,Change From Baseline in Growth Velocity SDS at Month 24.,,True,True,False,Genotropin®,0.74,0.57,21,Control,-0.03,21,0.77,,
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",placebo,Z,Change From Baseline in Height SDS at Month 12.,,True,True,False,Genotropin®,1.03,0.12,21,Control,0.14,21,0.89,,
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",placebo,Z,Change From Baseline in Growth Velocity SDS at Month 12.,,True,True,False,Genotropin®,1.65,0.56,21,Control,-1.59,21,3.24,,
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pulmonary Arterial Hypertension,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; SOC: Phosphodiesterase type 5 (PDE-5) inhibitor ; SOC: Soluble guanylate cyclase stimulator,placebo,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 24,False,False,False,DB Period: Selexipag,1.1,0.52,59,DB Period: Placebo,1.9,64,-0.8,,
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pulmonary Arterial Hypertension,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; SOC: Phosphodiesterase type 5 (PDE-5) inhibitor ; SOC: Soluble guanylate cyclase stimulator,placebo,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 48,False,False,False,DB Period: Selexipag,2.8,0.53,59,DB Period: Placebo,3.8,64,-1.0,,
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pulmonary Arterial Hypertension,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; SOC: Phosphodiesterase type 5 (PDE-5) inhibitor ; SOC: Soluble guanylate cyclase stimulator,placebo,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 72,False,False,False,DB Period: Selexipag,4.4,0.54,59,DB Period: Placebo,5.8,64,-1.4,,
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pulmonary Arterial Hypertension,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; SOC: Phosphodiesterase type 5 (PDE-5) inhibitor ; SOC: Soluble guanylate cyclase stimulator,placebo,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 96,False,False,False,DB Period: Selexipag,5.6,0.57,59,DB Period: Placebo,7.3,64,-1.7,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 3,True,True,False,Recifercept 1 mg/kg QW,0.4,,20,Recifercept 1.5 mg/kg QD,-0.6,18,1.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 3,True,True,False,Recifercept 2 mg/kg BIW,0.0,,19,Recifercept 1.5 mg/kg QD,-0.6,18,0.6,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 6,True,True,False,Recifercept 1 mg/kg QW,0.2,,20,Recifercept 1.5 mg/kg QD,-0.5,18,0.7,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 6,True,True,False,Recifercept 2 mg/kg BIW,0.7,,19,Recifercept 1.5 mg/kg QD,-0.5,18,1.2,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 9,True,True,False,Recifercept 1 mg/kg QW,0.7,,20,Recifercept 1.5 mg/kg QD,0.0,18,0.7,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 9,True,True,False,Recifercept 2 mg/kg BIW,0.7,,19,Recifercept 1.5 mg/kg QD,0.0,18,0.7,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 12,True,True,False,Recifercept 1 mg/kg QW,1.0,,20,Recifercept 1.5 mg/kg QD,0.3,18,0.7,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,cm,"Least Square Mean of Change From Baseline Arm Span to Standing Height/Length Difference at Month 3, Month 6, Month 9, and Month 12",Month 12,True,True,False,Recifercept 2 mg/kg BIW,0.9,,19,Recifercept 1.5 mg/kg QD,0.3,18,0.6,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 3,True,True,False,Recifercept 2 mg/kg BIW,-0.0,0.17,18,Recifercept 1 mg/kg QW,0.0,18,-0.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 3,True,True,False,Recifercept 1.5 mg/kg QD,0.0,0.26,18,Recifercept 1 mg/kg QW,0.0,18,0.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 6,True,True,False,Recifercept 2 mg/kg BIW,0.0,0.21,18,Recifercept 1 mg/kg QW,0.0,18,0.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 6,True,True,False,Recifercept 1.5 mg/kg QD,0.0,0.24,18,Recifercept 1 mg/kg QW,0.0,18,0.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 9,True,True,False,Recifercept 2 mg/kg BIW,0.0,0.21,18,Recifercept 1 mg/kg QW,0.0,18,0.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 9,True,True,False,Recifercept 1.5 mg/kg QD,0.0,0.2,18,Recifercept 1 mg/kg QW,0.0,18,0.0,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 12,True,True,False,Recifercept 1 mg/kg QW,0.0,0.33,18,Recifercept 1.5 mg/kg QD,-0.2,18,0.2,,
NCT04638153,Achondroplasia,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Recifercept,active-comparator,Z,"Change From Baseline in Height Standard Deviation Score (Z-Score) at Month 3, Month 6, Month 9, and Month 12",Change at Month 12,True,True,False,Recifercept 2 mg/kg BIW,0.1,0.26,18,Recifercept 1.5 mg/kg QD,-0.2,18,0.3,,
NCT02339090,Growth Disorders,Long-Acting Growth Hormone in Children Compared to Daily rhGH,Somavaratan ; rhGH,active-comparator,cm/yr,Annual Height Velocity,,True,False,False,rhGH,10.7,0.48,34,Somavaratan,9.43,104,1.27,,
NCT01109849,ADHD ; Growth,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth,behavior therapy ; Extended release (ER) methylphenidate product ; monitoring ; drug holiday ; caloric supplement,active-comparator,Z,Change Score for Z-height Baseline to Endpoint,,False,False,False,Behavior Therapy,-0.04,0.46,42,ER Stimulant,-0.11,170,0.07,,
NCT01109849,ADHD ; Growth,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth,behavior therapy ; Extended release (ER) methylphenidate product ; monitoring ; drug holiday ; caloric supplement,active-comparator,Z,Change in Height z Score During Weight Recovery Phase (Second Randomization),,False,False,False,Drug Holiday,-0.03,0.247,23,Caloric Supplementation,-0.185,24,0.155,,
NCT01109849,ADHD ; Growth,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth,behavior therapy ; Extended release (ER) methylphenidate product ; monitoring ; drug holiday ; caloric supplement,active-comparator,Z,Change in Height z Score During Weight Recovery Phase (Second Randomization),,False,False,False,Monitoring,-0.168,0.337,23,Caloric Supplementation,-0.185,24,0.017,,
NCT01109849,ADHD ; Growth,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth,behavior therapy ; Extended release (ER) methylphenidate product ; monitoring ; drug holiday ; caloric supplement,active-comparator,Z,Change in Height z Score by Actual Medication Usage,,False,False,False,Inconsistent Medication Group,-0.113,0.43,111,Consistent Medication,-0.248,38,0.135,,
NCT01109849,ADHD ; Growth,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth,behavior therapy ; Extended release (ER) methylphenidate product ; monitoring ; drug holiday ; caloric supplement,active-comparator,Z,Change in Height z Score by Actual Medication Usage,,False,False,False,Rare Medication Group,0.042,0.464,44,Consistent Medication,-0.248,38,0.29,,
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-deficit/Hyperactivity Disorder (ADHD),Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,placebo,cm,Change From Baseline in Height at Week 6,,False,False,False,SPD489 5 mg,0.7,1.5,34,Placebo,0.7,41,0.0,,
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-deficit/Hyperactivity Disorder (ADHD),Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,placebo,cm,Change From Baseline in Height at Week 6,,False,False,False,SPD489 10 mg,0.7,1.08,32,Placebo,0.7,41,0.0,,
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-deficit/Hyperactivity Disorder (ADHD),Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,placebo,cm,Change From Baseline in Height at Week 6,,False,False,False,SPD489 20 mg,1.0,1.29,33,Placebo,0.7,41,0.3,,
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-deficit/Hyperactivity Disorder (ADHD),Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,placebo,cm,Change From Baseline in Height at Week 6,,False,False,False,SPD489 30 mg,0.5,1.2,32,Placebo,0.7,41,-0.2,,
